Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SILV,SilverCrest Metals Inc. Common Shares,$9.20,0.06,0.656%,1190024269.00,,2018,1862157,Basic Industries,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$13.298,0.298,2.292%,2206179038.00,Mexico,1993,3742,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$2.81,-0.14,-4.746%,457468000.00,,,453626,Basic Industries,Precious Metals
SNMP,Sanchez Midstream Partners LP Common Stock,$1.21,-0.19,-13.571%,51096786.00,United States,,587648,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$2.01,-0.53,-20.866%,13867635.00,United States,,2690310,Health Care,Hospital/Nursing Management
STXS,Stereotaxis Inc. Common Stock,$5.48,-0.18,-3.18%,403797247.00,United States,,193002,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$6.45,-0.18,-2.715%,1131060467.00,,,1554427,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$9.10,-0.12,-1.302%,22644686.00,United States,,819,Capital Goods,Industrial Machinery/Components
SYN,Synthetic Biologics Inc. Common Stock,$0.7042,-0.1283,-15.411%,51184788.00,United States,,25550941,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.96,-0.09,-4.39%,547240597.00,Canada,,5919132,Basic Industries,Precious Metals
TGC,Tengasco Inc. Common Stock,$3.54,-1.17,-24.841%,37825049.00,United States,,4139820,Energy,Oil & Gas Production
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.21,-0.07,-5.469%,235838903.00,Canada,,487152,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$2.71,-0.59,-17.879%,30545437.00,,,186097,Consumer Services,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.64,-0.24,-12.766%,19432411.00,United States,2015,5803781,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$79.38,1.09,1.392%,1177962685.00,United States,,30689,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.36,-0.09,-3.673%,340278320.00,Canada,,808220,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.47,-0.2296,-8.505%,79465104.00,,,132002,Consumer Services,Building operators
TRT,Trio-Tech International Common Stock,$5.50,0.16,2.996%,20408053.00,United States,,287306,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.7114,-0.0841,-10.572%,178279853.00,Canada,,10291225,Basic Industries,Precious Metals
TRXC,TransEnterix Inc. Common Stock,$4.51,-0.90,-16.636%,1013515081.00,United States,,35296423,Health Care,Medical/Dental Instruments
UAMY,United States Antimony Corporation Common Stock,$1.68,0.02,1.205%,154240968.00,United States,,19939915,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$8.01,-1.29,-13.871%,471000600.00,United States,,7262455,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$2.36,-0.08,-3.279%,469779021.00,Canada,,7108829,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$6.92,-0.26,-3.621%,67671697.00,United States,2015,16832,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.11,-0.09,-7.50%,209020830.00,Canada,,4780566,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.79,0.05,1.825%,358092468.00,,2017,1996937,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$31.80,-0.21,-0.656%,1715176121.00,United States,2004,341761,,
UUU,Universal Security Instruments Inc. Common Stock,$6.67,-2.54,-27.579%,15426956.00,United States,,674338,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.45,-0.13,-2.33%,731883127.00,,,6014268,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.115,-0.105,-0.738%,68275667.00,United States,1993,1976,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.02,-0.14,-1.064%,58960328.00,United States,1993,14727,,
VGZ,Vista Gold Corp Common Stock,$0.9931,-0.0469,-4.51%,101976180.00,United States,,727935,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.12,0.00,0.00%,254581250.00,,2021,561820,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.14,-0.14,-1.241%,494521878.00,United States,,468629,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.07,0.02,0.153%,150370023.00,United States,1993,33482,,
VNRX,VolitionRX Limited Common Stock,$4.26,-0.44,-9.362%,224609139.00,Singapore,2015,731491,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$2.98,-0.32,-9.697%,64774994.00,United States,,313054,Technology,Professional Services
WLMS,Williams Industrial Services Group Inc. Common Stock,$2.99,-0.21,-6.563%,75755962.00,,2021,73398,Basic Industries,Military/Government/Technical
WRN,Western Copper and Gold Corporation Common Stock,$1.79,-0.07,-3.763%,242719767.00,Canada,2011,1793499,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.21,-0.15,-6.356%,47945972.00,United States,,461193,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$11.29,-0.96,-7.837%,95499107.00,United States,,317290,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.9195,-0.1005,-9.853%,53430643.00,United States,,4753723,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.74,-0.34,-16.346%,133738199.00,United States,,310157,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.82,-0.44,-10.329%,530442117.00,United States,,5022771,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$4.20,-0.14,-3.226%,219605875.00,United States,2017,1789034,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.50,-0.3501,-3.956%,,United States,,31688,,
ZDGE,Zedge Inc. Class B Common Stock ,$11.66,-0.74,-5.968%,146027356.00,,2016,366966,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$1.89,-0.21,-10.00%,1789609261.00,United States,2017,154824898,Health Care,Major Pharmaceuticals
