Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GAU,Galiano Gold Inc.,$1.25,-0.06,-4.58%,280285653.00,Canada,,1195716,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$5.75,-0.64,-10.016%,29508626.00,United States,,360360,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.65,0.06,0.567%,134784110.00,United States,2017,122922,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.48,-0.01,-0.287%,573891954.00,United States,2005,887799,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.38,0.02,0.079%,,United States,,2385,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$14.095,0.00,0.00%,21843402.00,,2016,2,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$41.0601,0.00,0.00%,,,,10,,
GLDG,GoldMining Inc. Common Shares,$1.68,-0.04,-2.326%,248017046.00,,,489407,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.54,-0.09,-0.713%,404094126.00,United States,2006,357062,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.80,-0.17,-1.064%,209047098.00,United States,2005,107145,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$19.16,-0.32,-1.643%,102957754.00,United States,2004,11015,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$46.52,0.00,0.00%,,United States,,2,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.11,-0.18,-1.594%,93409814.00,United States,2004,63418,,
GOED,1847 Goedeker Inc. Commom Stock,$11.79,-0.63,-5.072%,72051048.00,United States,2020,94445,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.87,-0.09,-3.041%,206254548.00,United States,,1312104,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$1.02,-0.04,-3.774%,361822374.00,Canada,,7134851,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$7.83,-0.09,-1.136%,31901933.00,United States,,10125,,
GSAT,Globalstar Inc. Common Stock,$1.67,-0.19,-10.215%,2789576809.00,United States,2006,57277565,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.52,0.10,2.924%,391638160.00,United States,,1275490,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.6793,-0.0666,-8.929%,242833586.00,Canada,,11269412,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.8953,-0.0707,-7.319%,328558587.00,Canada,,25307404,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.60,0.08,0.313%,,United States,,7713,,
HMG,HMG/Courtland Properties Inc. Common Stock,$12.26,0.01,0.082%,12348860.00,United States,,334,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.63,-0.14,-0.948%,121908718.00,United States,2007,46902,,
HUSA,Houston American Energy Corporation Common Stock,$2.26,-0.34,-13.077%,20534898.00,United States,,1318192,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$78.2958,1.7596,2.299%,,United States,,100,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.46,0.00,0.00%,126270695.00,United States,,70911,,
IBIO,iBio Inc. Common Stock,$2.02,-0.03,-1.463%,436340061.00,United States,,11743823,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$8.62,-0.32,-3.579%,283369208.00,United States,2017,34903,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.83,-0.14,-7.107%,83020371.00,United States,,2837871,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$3.24,-0.51,-13.60%,30048489.00,United States,,300180,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$3.18,-0.14,-4.217%,67510945.00,United States,1997,13954,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$22.66,0.02,0.088%,16634179268.00,Canada,,454555,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$8.13,-0.79,-8.857%,60226674.00,,2019,95351,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$18.92,-0.04,-0.211%,382882753.00,United States,,191343,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$42.72,-1.84,-4.129%,379601248.00,United States,1992,126733,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$8.39,0.09,1.084%,88339342.00,United States,1997,43823,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.13,-0.11,-8.871%,133920145.00,United States,,10285717,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.37,-0.52,-4.373%,47392593.00,United States,,3544,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$23.11,-1.75,-7.039%,86471889.00,United States,,37203,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.23,-0.26,-17.45%,173675819.00,United States,,13472598,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.88,-0.18,-16.981%,48151518.00,China,,11876501,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.38,-0.0668,-1.938%,184575638.00,,,105973,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.66,-0.17,-9.29%,29327424.00,United States,,347208,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$1.30,0.12,10.169%,61321112.00,Canada,,19058928,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$16.97,0.37,2.229%,497655110.00,United States,2018,1174617,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.57,-0.19,-6.884%,385452062.00,United States,,2266095,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$25.44,-0.70,-2.678%,312178438.00,United States,2014,146885,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$11.30,0.02,0.177%,59430610.00,United States,,5985,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$69.49,0.75,1.091%,17530521302.00,United States,,1338655,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$6.34,0.90,16.544%,221778056.00,United States,,6880067,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$6.33,0.16,2.593%,164940050.00,United States,2017,148524,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$42.78,-0.92,-2.105%,379667794.00,,2020,77953,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$19.46,0.01,0.051%,537526047.00,United Kingdom,2012,158096,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$21.48,0.00,0.00%,2035085697.00,Canada,,737370,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.74,-0.09,-1.863%,823279338.00,United States,,1359054,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$16.20,0.15,0.935%,184351934.00,United States,,22251,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$3.69,-0.06,-1.60%,235028901.00,United States,2015,898881,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.12,-0.23,-4.299%,719300142.00,,,184376,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.68,-0.19,-10.16%,35351655.00,United States,,593707,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$9.42,-0.14,-1.464%,373183813.00,,,286639,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.29,-0.06,-4.444%,257537868.00,United States,2017,4895856,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.63,-1.19,-12.118%,17878478.00,United States,,79140,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$13.81,-1.60,-10.383%,63274492.00,United States,2017,361989,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.7241,-0.092,-11.273%,368600666.00,Canada,,36810433,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$2.46,-0.36,-12.766%,68842286.00,United States,,423665,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.21,-0.0941,-0.913%,152333200.00,,2020,7673,Finance,Business Services
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.42,-0.07,-0.452%,290175040.00,United States,2002,28922,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.17,-0.08,-0.653%,61792165.00,United States,2002,3960,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.30,-0.02,-0.15%,73828885.00,United States,2002,27522,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.17,-0.25,-17.606%,48885623.00,United States,2007,8776805,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$51.89,0.00,0.00%,189538395.00,United States,,10,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.59,-0.38,-12.795%,40850568.00,United States,2017,40768,Energy,Oilfield Services/Equipment
NG,Novagold Resources Inc.,$9.02,-0.30,-3.219%,2988511992.00,Canada,,1533518,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.66,-0.07,-4.046%,1122824000.00,Canada,,11009400,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$67.00,-0.16,-0.238%,1029085696.00,United States,,39037,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.23,-0.06,-0.488%,238981355.00,United States,,71497,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$3.97,0.02,0.506%,224935944.00,,2013,255056,,
